,precision,recall,f1-score,support
angry,0.13596059113300493,0.1440501043841336,0.1398884946781551,958.0
disgust,0.0,0.0,0.0,111.0
fear,0.1450980392156863,0.072265625,0.09647979139504563,1024.0
happy,0.24963645176926805,0.290304396843292,0.26843888454521764,1774.0
neutral,0.18244084682440848,0.23763179237631793,0.20641070799577316,1233.0
sad,0.1694915254237288,0.136327185244587,0.1511111111111111,1247.0
surprise,0.10612244897959183,0.12515042117930206,0.11485367200441744,831.0
accuracy,0.18027305656171635,0.18027305656171635,0.18027305656171635,0.18027305656171635
macro avg,0.1412499861922412,0.14367564643251893,0.1395975231042457,7178.0
weighted avg,0.1736108881778893,0.18027305656171635,0.17378133538916554,7178.0
