,precision,recall,f1-score,support
angry,0.11553398058252427,0.12421711899791232,0.11971830985915492,958.0
disgust,0.0,0.0,0.0,111.0
fear,0.15476190476190477,0.0888671875,0.11290322580645161,1024.0
happy,0.2458929517753047,0.2615558060879369,0.2534826550122917,1774.0
neutral,0.1760355029585799,0.19302514193025141,0.18413926499032882,1233.0
sad,0.17038007863695936,0.20850040096230954,0.18752253876667868,1247.0
surprise,0.12216624685138538,0.11672683513838748,0.11938461538461538,831.0
accuracy,0.17679019225410977,0.17679019225410977,0.17679019225410977,0.17679019225410977
macro avg,0.14068152365237976,0.14184178437382822,0.1395929442599316,7178.0
weighted avg,0.1722496133554413,0.17679019225410977,0.1727604080555059,7178.0
